StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,student,age,sex,sex_orient,sex_orient_4_TEXT,gender,gender_3_TEXT,relstat,relstat_5_TEXT,ltmInterest,race_1,race_2,race_3,race_4,race_5,race_6,race_8,religion,politics,international,previousParticipant ,poliDQ_1,poliDQ_2,poliDQ_3,poliDQ_4,poliDQ_5,poliDQ_6,poliDQ_7,ageDQ_1,ageDQ_2,ageDQ_3,ageDQ_4,ageDQ_5,ageDQ_6,ageDQ_7,raceDQ_1,raceDQ_2,raceDQ_3,raceDQ_4,raceDQ_5,raceDQ_6,religionDQ_1,religionDQ_2,religionDQ_3,religionDQ_4,religionDQ_5,religionDQ_6,religionDQ_7,religionDQ_8,religionDQ_9,religionDQ_10,religionDQ_11,internationalDQ_1,internationalDQ_2,idealAffection1,idealAffection2,idealAmbition1,idealAmbition2,idealArtistic1,idealArtistic2,idealDisposition1,idealDisposition2,idealFamily1,idealFamily2,idealHealth1,idealHealth2,idealHumor1,idealHumor2,idealIntelligent1,idealIntelligent2,idealKind1,idealKind2,idealParenting1,idealParenting2,idealPhysatt1,idealPhysatt2,idealReligious1,idealReligious2,idealResources1,idealResources2,idealSexy1,idealSexy2,idealStatus1,idealStatus2,selfAffectionate1,selfAffectionate2,selfAmbition1,selfAmbition2,selfArtistic1,selfArtistic2,selfDisposition1,selfDisposition2,selfFamily1,selfFamily2,selfHealth1,selfHealth2,selfHumor1,selfHumor2,selfIntelligent1,selfIntelligent2,selfKind1,selfKind2,selfParenting1,selfParenting2,selfPhysatt1,selfPhysatt2,selfReligious1,selfReligious2,selfResources1,selfResources2,selfSexy1,selfSexy2,selfStatus1,selfStatus2,p
1/6/2025 16:14,1/6/2025 16:22,0,68.6.122.13,100,441,1,1/6/2025 16:22,R_3KYOALUrovV4VHP,,,,,34.4398,-119.7315,qr,EN,1,20,0,1,,0,,1,,1,,,1,1,,,,11,7,0,0,,,,1,1,1,1,,,1,1,1,1,1,,1,1,1,,1,,1,,1,1,,1,1,1,1,1,1,1,10,10,11,10,10,10,9,10,6,6,7,7,9,9,10,9,8,8,8,10,9,9,2,1,11,10,11,11,6,6,10,11,10,11,11,10,9,9,7,7,7,7,9,6,8,7,10,11,11,10,9,10,4,1,6,10,10,11,7,7,f24627858
1/6/2025 15:00,1/6/2025 19:13,0,172.56.187.174,100,15211,1,1/6/2025 19:13,R_6QRzgZfuajNXo6o,,,,,34.2003,-118.4045,qr,EN,1,18,1,3,,1,,1,,1,1,,,,,,,9,6,0,0,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,10,11,9,6,6,9,7,10,10,10,9,8,9,9,9,6,10,6,9,9,9,2,1,6,11,4,8,6,6,7,9,10,9,4,5,5,7,10,10,6,7,7,5,7,7,6,9,6,7,7,6,1,2,6,8,2,8,6,6,f24848147
1/6/2025 19:46,1/6/2025 20:02,0,169.231.176.122,100,973,1,1/6/2025 20:02,R_31zCCbfqrkPlXMp,,,,,34.4265,-119.8631,qr,EN,1,20,0,3,,0,,1,,1,,,,,,1,,11,6,1,0,,,,1,1,1,1,,,1,1,1,1,,1,1,1,1,1,1,1,1,,,1,,,,,1,1,1,1,10,10,10,10,7,9,10,8,7,8,9,9,9,9,10,10,10,10,6,8,10,8,2,1,10,11,10,7,9,10,9,10,9,10,8,9,9,7,9,9,8,8,9,8,10,9,10,8,6,8,10,9,1,1,7,8,9,7,9,9,f24792220
1/6/2025 20:05,1/6/2025 20:15,0,68.108.255.221,100,620,1,1/6/2025 20:15,R_6H7xFXAA78tZ29Q,,,,,34.4216,-119.7068,qr,EN,1,20,0,3,,0,,1,,2,1,,,,,,,11,6,0,0,,,,,,1,,,,1,1,1,,,1,1,1,1,1,1,,,,,,,,,,1,1,1,,9,9,9,9,6,6,9,8,6,9,7,7,9,9,10,8,11,11,7,6,10,8,1,1,10,10,11,9,9,6,7,8,9,7,9,11,7,10,6,6,6,6,11,11,8,8,7,9,7,6,7,6,1,1,6,9,11,8,6,6,f24650563
1/6/2025 19:58,1/6/2025 20:17,0,68.108.255.221,100,1121,1,1/6/2025 20:17,R_5W3siiU2mmdLU6B,,,,,34.4216,-119.7068,qr,EN,1,20,0,3,,0,,1,,2,1,,,,,,,11,6,0,0,,,,1,1,1,1,,,1,1,1,,,1,1,1,1,1,1,1,1,,,,,1,1,1,1,1,1,,6,6,11,9,4,4,9,6,11,9,9,9,10,9,8,9,7,10,8,6,8,9,4,1,7,8,6,8,8,8,5,4,11,11,3,4,6,7,10,11,7,7,10,8,6,6,6,7,6,6,6,6,3,1,6,7,7,7,7,6,f24938162
1/6/2025 21:02,1/6/2025 21:10,0,172.56.176.76,100,484,1,1/6/2025 21:10,R_1MeQ1TD0uaBE80x,,,,,33.9952,-117.5219,qr,EN,1,18,1,2,,1,,1,,1,,,1,,,,,12,6,0,1,,,1,1,1,1,1,1,1,1,1,1,,,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,10,7,9,10,4,5,8,9,6,6,6,7,9,9,8,7,6,7,6,8,8,9,6,5,6,11,6,9,8,6,9,7,10,7,2,2,10,8,5,9,7,7,10,9,8,8,6,7,9,6,9,8,4,3,6,9,6,9,6,6,f24120922
1/6/2025 21:02,1/6/2025 21:28,0,169.231.196.52,100,1513,1,1/6/2025 21:28,R_31jwB4mX0M7AVZs,,,,,34.4265,-119.8631,qr,EN,1,18,0,3,,0,,1,,1,,1,,,,,,1,6,0,0,,,1,1,1,1,,1,1,,,,,,1,1,1,1,1,,1,1,,,,,1,1,1,1,,1,,1,11,8,1,4,1,1,4,7,1,6,5,11,8,6,6,1,8,6,1,1,11,5,4,6,9,6,6,1,6,3,2,6,7,7,3,5,6,6,5,8,9,9,6,8,6,5,6,1,1,10,8,3,3,8,8,11,5,9,6,f2447103
1/6/2025 20:10,1/6/2025 21:30,0,68.6.122.13,100,4841,1,1/6/2025 21:30,R_7u5BizGuXPG6a2t,,,,,34.4398,-119.7315,qr,EN,1,22,0,3,,0,,1,,1,,,1,,,,,2,6,0,0,,,,1,1,1,1,,,1,1,1,1,1,,1,1,,,,,1,,,,,,,,,,1,,9,9,8,8,6,8,9,9,9,9,8,9,9,9,7,9,9,8,9,8,8,8,6,6,9,9,9,8,8,9,10,10,10,10,8,9,10,9,11,10,10,9,10,11,10,9,10,11,10,10,10,10,9,9,9,9,11,10,10,9,f24762476
1/7/2025 12:32,1/7/2025 12:38,0,169.231.101.232,100,305,1,1/7/2025 12:38,R_1GjkSolrAHU9ITQ,,,,,34.4265,-119.8631,qr,EN,1,19,0,1,,0,,1,,1,1,,,,,,,9,7,0,0,,,,,1,1,1,,1,1,,,,,1,1,1,1,1,1,,1,,,,,,,1,1,,1,,10,8,9,9,6,8,9,9,6,7,8,8,8,9,9,7,8,9,8,8,8,7,6,6,7,7,8,8,10,7,8,8,10,10,9,9,9,9,9,9,8,9,10,10,7,7,10,10,7,8,6,8,7,6,8,8,6,6,10,7,f24890021
1/7/2025 12:28,1/7/2025 12:42,0,169.231.60.216,100,794,1,1/7/2025 12:42,R_3xxhkwZ4pL4HUjU,,,,,34.2183,-118.3718,qr,EN,1,19,0,1,,0,,1,,1,,,1,,,1,,9,6,0,0,,,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,,,1,,,1,1,1,1,1,1,8,9,9,8,7,7,8,8,8,5,8,9,8,8,10,8,7,9,9,9,8,7,5,4,10,7,8,7,9,9,8,10,8,8,9,9,9,9,8,9,7,8,10,6,9,7,7,9,10,9,7,7,5,5,7,6,7,7,8,9,f24707597
1/7/2025 13:41,1/7/2025 13:50,0,98.185.223.6,100,583,1,1/7/2025 13:50,R_7eJqqHlp1lGDfZt,,,,,34.4265,-119.8631,qr,EN,1,20,0,3,,0,,1,,1,,,1,,,,,2,6,0,0,,,1,1,1,1,,,1,1,1,1,,,,,1,,,1,1,1,,,,,,,,,,1,1,8,8,7,8,6,6,8,7,7,6,7,8,8,8,7,7,8,8,6,6,7,7,6,5,7,6,8,8,7,6,8,8,7,7,4,5,7,6,4,6,7,7,8,6,7,8,6,7,6,6,7,7,5,4,8,8,8,8,6,5,f24696303
1/7/2025 14:53,1/7/2025 15:08,0,12.75.215.5,100,848,1,1/7/2025 15:08,R_7ZR1lMicpV5cS7l,,,,,33.7256,-117.9119,qr,EN,1,19,0,3,,0,,1,,1,1,,,,,,,1,3,0,0,1,1,1,1,1,,,,1,1,1,1,1,,1,,,,,1,1,1,,1,1,,,,,1,1,1,,8,5,11,11,8,5,8,11,8,8,9,8,8,7,10,8,7,8,6,7,9,9,7,6,11,11,7,8,11,10,8,4,11,9,6,5,11,11,11,11,10,10,10,6,9,8,11,10,9,8,10,10,8,6,9,9,10,9,9,9,f24968184
1/7/2025 17:09,1/7/2025 17:21,0,169.231.222.192,100,724,1,1/7/2025 17:21,R_1YD4agsNusvTt87,,,,,34.4265,-119.8631,qr,EN,1,20,1,3,,1,,1,,1,1,,,,,,,2,7,0,0,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,7,9,9,9,7,6,9,9,11,10,4,4,11,11,10,8,7,8,8,7,9,9,8,4,8,10,10,9,8,7,8,9,10,11,5,9,9,10,10,11,4,5,11,11,7,7,8,8,9,10,7,7,4,5,11,10,7,9,8,5,f24263070
1/7/2025 18:38,1/7/2025 18:51,0,172.226.7.54,100,762,1,1/7/2025 18:51,R_1bWbWfwecDPNoGZ,,,,,33.6128,-117.6622,qr,EN,1,22,0,1,,0,,1,,1,,,,,,1,,11,7,0,0,,,,,1,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,8,7,10,8,7,7,8,9,6,6,9,9,9,8,10,8,11,9,7,10,9,9,6,2,9,8,10,8,11,10,7,8,8,8,9,10,9,11,5,5,7,6,10,7,8,8,5,6,8,3,8,8,8,1,6,8,8,7,7,6,f24569609
1/7/2025 19:28,1/7/2025 19:40,0,174.227.188.132,100,698,1,1/7/2025 19:40,R_7z40UAwGhkLl1v3,,,,,37.683,-121.8879,qr,EN,1,21,0,3,,0,,1,,1,,,,,,1,,12,7,0,0,,,,,,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,6,11,11,6,6,10,10,8,6,10,9,11,9,11,9,11,11,11,6,8,10,6,6,6,9,10,11,8,6,11,6,10,10,8,9,9,10,9,11,9,10,11,9,10,10,10,11,11,7,11,8,5,4,5,3,11,11,8,11,f24253908
1/7/2025 19:27,1/7/2025 19:41,0,169.231.188.150,100,831,1,1/7/2025 19:41,R_10ep4aEk7KEecVB,,,,,34.4265,-119.8631,qr,EN,1,18,0,1,,0,,1,,1,1,,,,,,,9,7,1,0,,,,,,1,1,1,,,,,,,1,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,7,6,7,6,6,6,9,7,6,6,7,7,7,9,7,7,9,8,6,6,8,6,3,4,6,7,6,6,7,8,7,6,9,9,8,8,6,6,5,6,7,7,8,10,8,7,9,8,6,8,7,6,1,1,7,9,6,6,8,11,f24930645
1/7/2025 14:48,1/7/2025 20:57,0,47.151.122.247,100,22112,1,1/7/2025 20:57,R_1i9bnJLEs02xtfe,,,,,33.762,-117.9325,qr,EN,1,20,0,1,,0,,1,,1,,,,,,1,,11,6,0,0,,,,1,1,1,,,,,1,1,1,,,1,,,,1,,,,,,,,1,,1,1,1,1,9,9,8,8,10,11,8,8,8,11,8,7,8,8,8,9,9,11,6,11,11,11,1,1,11,11,11,7,10,8,8,9,7,9,10,11,6,6,1,2,8,8,9,8,9,9,10,10,5,10,11,11,1,1,11,11,10,11,9,7,f2444829
1/7/2025 21:10,1/7/2025 21:23,0,47.151.122.247,100,741,1,1/7/2025 21:23,R_1jHtQUThH8i3TNg,,,,,34.9504,-120.4964,qr,EN,1,20,0,3,,0,,1,,1,,1,,,,1,,11,7,1,0,,,,,,,1,,,,,1,1,1,,,,,,1,,,,,,,,,,1,1,1,1,6,6,6,6,7,7,6,6,6,6,6,6,7,6,8,8,9,11,6,8,9,7,1,1,6,6,8,6,8,6,5,5,6,7,8,7,6,6,9,11,9,8,9,6,10,10,9,11,6,11,7,8,1,1,6,6,7,6,9,9,f24863445
1/7/2025 21:16,1/7/2025 21:29,0,47.151.122.247,100,785,1,1/7/2025 21:29,R_1Kd6eNjLKnknTmh,,,,,34.9504,-120.4964,qr,EN,1,22,0,1,,0,,2,,1,,,,,,1,,5,7,0,0,,,,,,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,8,7,6,5,6,5,8,7,5,7,8,11,7,7,6,8,9,9,6,6,7,8,4,4,6,3,8,8,8,7,8,7,8,6,4,5,10,11,7,11,11,11,9,7,8,7,8,7,8,7,9,8,6,7,11,5,9,9,7,8,f24139249
1/7/2025 21:06,1/7/2025 21:34,0,104.28.85.103,100,1710,1,1/7/2025 21:34,R_5LIthGq5vi0t2Ch,,,,,34.1211,-117.4362,qr,EN,1,22,0,1,,0,,1,,1,,,,,,1,,5,7,0,0,,,,,1,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,8,11,7,6,9,9,7,8,9,9,7,7,9,7,7,7,9,8,9,8,6,6,3,4,10,6,7,9,8,7,5,11,9,9,8,11,8,8,8,9,7,8,8,11,8,7,7,10,7,9,6,6,5,7,8,7,6,7,6,6,f24180187
1/7/2025 21:07,1/7/2025 21:42,0,47.151.122.247,100,2092,1,1/7/2025 21:42,R_66f4bs1sskwo9Pm,,,,,34.9504,-120.4964,qr,EN,1,21,0,1,,0,,1,,1,1,,,,,1,,11,7,0,0,,,,,1,1,1,,,1,1,1,1,,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,5,8,7,8,6,7,5,5,6,6,6,5,7,8,8,6,7,8,6,6,6,6,4,4,7,7,7,6,7,8,7,9,7,8,8,8,8,8,6,7,7,7,9,6,7,7,7,9,6,6,7,7,4,3,7,7,6,6,7,7,f24783827
1/7/2025 21:39,1/7/2025 21:50,0,47.151.122.247,100,643,1,1/7/2025 21:50,R_1QG1ZnHqDjiBC1L,,,,,34.9504,-120.4964,qr,EN,1,20,0,2,,2,,1,,2,,1,1,,,1,,2,7,0,0,,,,,,,1,,,1,1,1,,,1,1,1,1,1,,,1,,1,1,,1,1,1,,1,1,,7,7,6,6,6,6,7,8,6,6,5,5,8,6,6,7,8,5,6,6,7,6,7,6,5,4,5,7,6,6,6,7,8,8,8,8,7,7,8,7,5,6,8,6,5,7,7,8,6,6,6,5,7,7,6,5,5,6,6,6,f2427050
1/7/2025 22:18,1/7/2025 22:45,0,47.151.122.247,100,1645,1,1/7/2025 22:45,R_5QRmwKSCvGSM2NU,,,,,34.9504,-120.4964,qr,EN,1,21,0,1,,0,,1,,1,,,,,1,1,,5,7,0,0,,,,,1,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,9,10,7,8,9,8,10,8,8,7,10,10,11,10,8,9,9,9,8,8,9,10,4,5,9,8,10,9,9,9,8,10,8,8,9,10,8,8,5,7,8,8,10,7,9,8,8,9,8,9,8,9,4,5,7,8,9,9,9,8,f24351596
1/7/2025 23:28,1/7/2025 23:37,0,104.28.85.103,100,557,1,1/7/2025 23:37,R_1UoW4iRvItJ7a81,,,,,34.0664,-117.6502,qr,EN,1,22,0,2,,0,,1,,1,,,,,,1,,10,7,0,0,,,,,1,1,1,,,,1,1,1,,1,1,1,1,1,1,1,1,,,1,,1,1,1,1,1,1,,7,9,8,8,6,6,6,6,6,6,8,8,8,6,7,7,7,8,6,8,8,7,4,4,6,6,8,7,8,6,6,9,8,8,6,6,7,6,7,7,8,8,8,8,7,7,6,7,5,5,7,8,1,1,7,8,8,7,7,7,f24114701
1/7/2025 23:55,1/8/2025 0:07,0,169.231.43.192,100,719,1,1/8/2025 0:07,R_6Rt46q04QR3bPhG,,,,,34.4373,-119.8341,qr,EN,1,19,0,3,,0,,1,,1,,,,,,1,,11,6,1,0,,,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,,,,,,,,,,1,1,1,1,10,7,9,9,7,9,5,6,6,4,8,8,6,7,8,5,7,7,4,4,10,8,2,2,8,8,6,5,6,7,8,5,9,10,10,10,9,9,7,7,7,6,7,6,8,8,9,9,5,3,8,7,3,3,6,3,4,4,6,6,f24162892
1/8/2025 0:01,1/8/2025 0:09,0,68.99.127.147,100,438,1,1/8/2025 0:09,R_6oxadMt3TRGBARj,,,,,34.4216,-119.7068,qr,EN,1,20,1,3,,1,,1,,1,,,1,,,,,1,4,0,0,,,,1,1,,,,1,1,1,1,,,,1,1,,1,,1,,,,,,,,,,,1,1,9,7,8,9,6,7,8,9,7,9,9,9,7,7,9,9,9,8,8,6,8,8,8,9,7,7,9,9,7,9,9,7,9,8,6,7,8,8,8,9,8,8,8,7,9,8,8,9,8,8,7,7,8,8,7,6,8,8,8,8,f24741978
1/7/2025 7:58,1/8/2025 11:43,0,169.231.194.53,100,99865,1,1/8/2025 11:43,R_5Mu6mKxvVapfYMR,,,,,33.9258,-117.4899,qr,EN,1,18,0,1,,0,,1,,1,,,,,,1,,11,7,0,0,,,,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,,,1,,1,1,1,1,1,1,1,7,9,9,9,6,6,9,6,9,8,8,9,11,9,8,9,8,9,10,11,9,8,4,1,6,6,9,8,6,6,6,10,10,10,7,7,8,11,11,10,9,10,11,10,7,8,8,9,11,10,9,8,1,1,6,6,6,9,9,6,f24525144
1/8/2025 11:51,1/8/2025 12:01,0,172.226.36.94,100,593,1,1/8/2025 12:01,R_5fANVU3VvjI9YWZ,,,,,37.3651,-122.0383,qr,EN,1,22,0,3,,0,,1,,1,,,,,,1,,11,7,1,0,,,,1,1,1,1,,,,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,1,1,1,9,9,8,8,8,7,9,9,9,8,9,8,11,10,9,9,9,11,8,9,8,8,4,1,8,9,10,11,9,9,9,10,9,9,9,9,10,8,9,9,7,8,11,11,11,9,10,,10,11,7,8,1,1,8,9,10,10,10,11,f2494091
1/8/2025 12:30,1/8/2025 12:38,0,169.231.41.112,100,515,1,1/8/2025 12:38,R_1PbbWaCVUPx5zeP,,,,,34.4373,-119.8341,qr,EN,1,20,0,3,,0,,1,,1,1,,,,,,,11,7,0,0,,,,,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,9,7,10,7,11,10,10,9,6,6,9,8,7,10,10,10,11,11,6,6,8,9,5,5,9,9,7,7,10,6,10,9,10,9,11,11,8,9,6,10,9,8,8,8,9,10,10,10,6,6,9,9,5,1,9,10,8,7,9,9,f242391
1/8/2025 13:59,1/8/2025 14:18,0,169.231.177.243,100,1144,1,1/8/2025 14:18,R_5D3lUrRwx3MAPVT,,,,,34.4265,-119.8631,qr,EN,1,20,0,3,,0,,1,,1,,,1,,,,,1,6,0,0,,,,,,1,,,,1,1,1,1,,,,1,,,,1,1,,,,,,,,,1,1,,8,6,7,8,5,5,7,8,8,7,7,8,7,7,6,6,9,8,8,7,7,6,5,5,7,6,6,5,8,6,7,6,9,8,5,7,8,9,5,5,6,6,7,6,6,6,7,8,10,10,7,7,5,5,6,6,7,6,7,9,f24799462
