"PIN","age","sex","sexOrient","sexOrientText","gender","genderText","relStat","relStatText","raceAAPI","raceBlack","raceLatinx","raceNAAI","raceMENA","raceWhite","raceNA","religion","politics","international","poliDQVC","poliDQMC","poliDQSC","poliDQCent","poliDQSL","poliDQML","poliDQVL","ageDQ18","ageDQ19","ageDQ20","ageDQ21","ageDQ22","ageDQ23_25","ageDQ26plus","raceDQAAPI","raceDQBlack","raceDQLatinx","raceDQNAAI","raceDQMENA","raceDQWhite","religionDQ1","religionDQ2","religionDQ3","religionDQ4","religionDQ5","religionDQ6","religionDQ7","religionDQ8","religionDQ9","religionDQ10","religionDQ11","internationalDQDom","internationalDQInt","idealAffectionComp","idealAmbitionComp","idealArtisticComp","idealDispositionComp","idealFamilyComp","idealHealthComp","idealHumorComp","idealIntelligentComp","idealKindComp","idealParentingComp","idealPhysattComp","idealReligiousComp","idealResourcesComp","idealSexyComp","idealStatusComp","selfAffectionateComp","selfAmbitionComp","selfArtisticComp","selfDispositionComp","selfFamilyComp","selfHealthComp","selfHumorComp","selfIntelligentComp","selfKindComp","selfParentingComp","selfPhysattComp","selfReligiousComp","selfResourcesComp","selfSexyComp","selfStatusComp","quarter"
"f2435017",18,0,3,NA,0,"",1,"",NA,NA,NA,NA,NA,1,NA,2,6,0,NA,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,1,1,1,NA,NA,1,1,NA,1,NA,1,1,1,1,8,8.5,6,5.5,6,5.5,7.5,7.5,7,5.5,6.5,4.5,5,5.5,7.5,8,8,7.5,7,7,6.5,7,6.5,8,7.5,7.5,3,5,6.5,7.5,"fall"
"f24772433",20,0,1,NA,0,"",1,"",1,NA,NA,NA,NA,NA,NA,11,6,0,NA,NA,NA,1,1,1,NA,NA,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,NA,NA,1,1,1,1,1,1,1,1,1,8,8,5,6.5,7,8.5,9,7.5,8.5,5,7,1,8,8,7,8,9,5.5,7,9.5,8.5,7,6.5,9,5.5,6.5,1,7.5,7,7.5,"fall"
"f24811652",20,1,3,NA,1,"",1,"",1,NA,NA,NA,NA,NA,NA,12,4,0,NA,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,6.5,7,5.5,7,5.5,7,6,6,6.5,5,7,5,6,7,5,6.5,7,6,7,6,6.5,6.5,6.5,6.5,6,7,5,5,7,5,"fall"
"f24307924",21,1,3,NA,1,"",1,"",1,NA,NA,NA,NA,NA,NA,12,6,0,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,10,9,7.5,6.5,9,10,6,10,10,10,10,5,10,9.5,10,7,7,3.5,6.5,6.5,6.5,6,7.5,7.5,7.5,7,3.5,8.5,6.5,6.5,"fall"
"f24316658",20,1,3,NA,1,"",1,"",1,NA,NA,NA,NA,NA,NA,9,2,0,1,1,1,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,1,NA,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,8,8,5.5,8,7.5,7.5,7,7,7.5,6.5,8.5,5,6.5,7,7,9.5,9,6,9.5,10,5.5,10,8.5,9.5,8.5,5.5,5.5,9.5,7.5,9.5,"fall"
"f24519779",19,1,3,NA,1,"",1,"",NA,NA,NA,NA,NA,1,NA,11,6,0,NA,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,6,5,6.5,6,7.5,6,8.5,7,6,6.5,7,1,6,5.5,6,5,5,5.5,6.5,9,6,8.5,7,5.5,6.5,7,1.5,6.5,5,6,"fall"
"f24854596",19,1,3,NA,1,"",1,"",1,NA,NA,NA,NA,NA,NA,1,4,0,NA,NA,1,1,1,NA,NA,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,7.5,6.5,7,9,7,8.5,7,7.5,8,10,10,7.5,8.5,8.5,10,8,9,7.5,10,10,7,7.5,8.5,9.5,8,6.5,7.5,6.5,6.5,5.5,"fall"
"f24318038",21,0,1,NA,2,"",1,"",NA,NA,1,NA,NA,NA,NA,10,7,0,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,1,1,NA,1,1,1,1,1,1,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,8,10,6,5.5,6,6,7,10,7,4,7,4.5,6.5,6,6.5,6.5,9,6.5,5,2,5.5,9,7.5,8.5,4.5,5,0.5,6,5.5,6.5,"fall"
"f24362971",22,1,3,NA,1,"",1,"",NA,NA,NA,NA,1,1,NA,12,5,0,NA,1,1,1,1,1,NA,NA,1,1,1,1,1,NA,1,NA,1,1,1,1,1,1,NA,1,NA,NA,1,1,1,NA,NA,1,1,6.5,5.5,7,6.5,6.5,8,7,5.5,7,6.5,7.5,4.5,5,6.5,5,5.5,6.5,9,8,8.5,8,5,9,5,7,6.5,3.5,7,5.5,5.5,"fall"
"f24108791",20,1,3,NA,1,"",1,"",1,NA,NA,NA,NA,NA,NA,10,5,1,NA,NA,1,1,1,NA,NA,NA,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,5,5.5,6,6,6,6,6,6,6,5,0,5,5,6,5,6.5,5,6,7,6,5,6,5.5,5.5,5,0,6,5,5,"fall"
"f24955315",18,0,3,NA,0,"",1,"",NA,NA,NA,NA,NA,1,NA,11,5,0,NA,NA,NA,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,6.5,6.5,5.5,5.5,5.5,6,10,6.5,6.5,6.5,5,4,5,5.5,5.5,7,6,7.5,5.5,6.5,7.5,9,6,5,7,5.5,2,4,7.5,5.5,"fall"
"f24606174",20,1,3,NA,1,"",1,"",1,NA,NA,NA,NA,NA,NA,10,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,5.5,5.5,6,4,6,5.5,6,4.5,3,9,3,3.5,7.5,5,4,8,4.5,6,6.5,8,4.5,6,5.5,4,7,1.5,5.5,7,5,"fall"
"f24687888",19,0,1,NA,0,"",1,"",NA,NA,1,NA,NA,NA,NA,12,7,0,NA,NA,NA,NA,NA,1,1,NA,1,1,1,1,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,8,8,7.5,7,5.5,7,9.5,7,8,5.5,9.5,4.5,5.5,7,6.5,8,8,9,7.5,8,7.5,10,8,9,7.5,8,3,6.5,7,8,"fall"
"f24845585",19,1,3,NA,1,"",1,"",1,NA,NA,NA,NA,NA,NA,8,7,1,NA,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5.5,5,5.5,6,4,5.5,6,5,5,5.5,5.5,2,3.5,5.5,4,6,4,1.5,7.5,4.5,5.5,7,5,8,9.5,6,6.5,8.5,5.5,5,"fall"
"f24189848",20,0,3,NA,0,"",1,"",1,NA,NA,NA,NA,NA,NA,9,5,0,NA,NA,NA,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,7.5,9,5,6,7,7,9,8,7,7,8,4.5,7.5,6.5,8.5,6.5,10,6.5,6.5,7.5,6.5,8,10,7.5,6,7,4.5,8,7,8,"fall"
"f24528598",18,0,3,NA,0,"",1,"",1,NA,NA,NA,NA,NA,NA,12,3,0,NA,1,1,1,1,1,NA,1,1,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,8.5,5,5,7,8.5,8,6,7,7.5,8,8,7,7.5,5,8.5,7,4.5,5,6,9.5,8,5,7,6.5,7.5,6.5,5,6.5,5,6.5,"fall"
"f24211822",20,1,3,NA,1,"",1,"",1,NA,NA,NA,NA,NA,NA,11,3,0,NA,NA,1,1,1,NA,NA,NA,NA,1,1,1,NA,NA,1,NA,1,NA,1,1,1,1,NA,NA,NA,NA,1,1,1,1,1,1,NA,8,7.5,4.5,5.5,7,7,7.5,7.5,7,6.5,8.5,3.5,5,5,7,8.5,5.5,2.5,3.5,5.5,6,5,6.5,7.5,5.5,4.5,2.5,4.5,5,4,"fall"
"f24962704",19,1,3,NA,1,"",1,"",NA,NA,1,NA,NA,NA,NA,2,5,0,NA,1,1,1,1,1,NA,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,NA,NA,1,1,1,1,5,6,5.5,2.5,5,5,5,9,6,7.5,6,3.5,6,7.5,6,4,4,6.5,2,4.5,6,5,6.5,6.5,6,4.5,3.5,5,6.5,4.5,"fall"
"f24428004",21,0,3,NA,0,"",1,"",1,NA,NA,NA,NA,1,NA,11,6,0,NA,NA,NA,NA,1,1,1,NA,NA,1,1,1,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,4,7.5,5.5,7.5,3.5,6.5,7.5,8,8.5,6.5,6,0,6.5,3.5,6.5,2.5,8,6.5,6.5,4,9,7,6.5,6.5,6,5.5,0,5,3.5,7,"fall"
"f24956540",21,0,1,NA,0,"",1,"",NA,NA,NA,NA,NA,1,NA,10,7,0,NA,NA,NA,1,1,1,1,NA,NA,1,1,1,1,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,7.5,7,5.5,6.5,6,7,6.5,7,7,6.5,6,1,6,6.5,6.5,8,7,7,8,7,6.5,8,6.5,7,7,6.5,1,7.5,6,7,"fall"
"f24721416",21,0,3,NA,0,"",1,"",1,NA,NA,NA,NA,1,NA,11,6,0,NA,NA,NA,1,1,1,1,NA,NA,NA,1,1,1,NA,1,1,1,1,1,1,1,1,NA,NA,1,NA,NA,1,NA,1,1,1,NA,7,7.5,5.5,7,7.5,7,6.5,7,7.5,5.5,7,2.5,7.5,7.5,7,7.5,7,7,7,9,7.5,6,7,9,5,7,5,8.5,7.5,6.5,"fall"
"f24697361",20,1,3,NA,1,"",1,"",1,NA,NA,NA,NA,NA,NA,10,3,0,NA,NA,1,1,1,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,7.5,6,6,6.5,7.5,6,6,6,6,7.5,6.5,5.5,6,7.5,6,8,5.5,4.5,5.5,7,6,5.5,5,5.5,5.5,5,4,4.5,5.5,5,"fall"
"f24594116",23,1,1,NA,1,"",1,"",NA,1,NA,NA,NA,NA,NA,12,7,0,NA,NA,NA,1,1,1,1,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,NA,1,NA,NA,NA,NA,1,1,1,1,1,1,1,7.5,7,6,4.5,5.5,5,8,6,6.5,7,7.5,5,7,5.5,6,7.5,9,4.5,5,8.5,6,9.5,7,9.5,6,8.5,0,6,6.5,7.5,"fall"
"f24957279",19,1,3,NA,1,"",1,"",1,NA,NA,NA,NA,NA,NA,11,5,0,NA,NA,1,1,1,1,NA,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,1,1,1,6.5,6,5,6.5,6,6.5,7,4.5,5.5,5.5,7,3.5,5,5,5.5,5.5,6,5,5,8,7,7.5,7,7,5.5,6.5,2,7,4,6,"fall"
"f24783549",19,0,3,NA,0,"",1,"",NA,NA,NA,NA,NA,1,NA,12,5,0,NA,NA,1,1,1,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,1,NA,NA,NA,NA,1,NA,1,NA,5.5,7.5,6,6.5,6.5,7,7.5,6.5,7.5,6,7,7,6.5,7,5.5,6.5,8,8,9,8.5,8.5,8,7.5,7.5,8.5,6.5,8,6.5,5,6.5,"fall"
"f2428364",20,0,3,NA,0,"",1,"",NA,NA,NA,NA,NA,1,NA,11,5,0,NA,NA,NA,1,1,1,NA,NA,1,1,1,NA,NA,NA,1,NA,1,NA,1,1,1,1,NA,NA,1,NA,1,NA,NA,1,1,1,1,5,7,6,6,7,6.5,7,6,6.5,5,6.5,2,7.5,6,7,4.5,6,6,6,7.5,5,6.5,6,5.5,6.5,5.5,1,6,5.5,6,"fall"
"f24473873",19,0,1,NA,0,"",1,"",NA,NA,NA,NA,NA,NA,1,5,7,0,NA,NA,NA,NA,1,1,1,NA,1,1,1,NA,NA,NA,1,1,1,1,1,1,1,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,4.5,8,5.5,5,7,6.5,8.5,7,7,5,7,2.5,6.5,6.5,7.5,4,8,7,5,5.5,6,8,7,7.5,8.5,7,5.5,7,5,7,"fall"
"f24583377",18,1,3,NA,1,"",1,"",NA,NA,1,NA,NA,NA,NA,11,5,0,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,6.5,6.5,5,6,5.5,5.5,6,6,5.5,5.5,6,5,5.5,5.5,5.5,6.5,6,4.5,4,6,5,4,6,5.5,5.5,5,4.5,5,6,5,"fall"
"f2429109",21,1,3,NA,1,"",1,"",1,NA,NA,NA,NA,NA,NA,11,5,0,NA,NA,1,1,1,1,NA,NA,1,1,1,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,6.5,7.5,5,6.5,7,7.5,6,7.5,7.5,6.5,9,4,8,5,8.5,6,7,8,6.5,5,8,7,7.5,6,7,7,0,8,5.5,6,"fall"
"f24299786",18,0,3,NA,0,"",1,"",1,NA,NA,NA,NA,NA,NA,9,5,0,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,6.5,6.5,4,6.5,8,5.5,6.5,6.5,8,7,6,5,6.5,5.5,7.5,7,7,6.5,6.5,6,5.5,7,6,7,8.5,5.5,5,7,5,6,"fall"
"f24129889",21,0,1,NA,0,"",1,"",NA,NA,NA,NA,NA,1,NA,5,7,0,NA,NA,NA,1,1,1,1,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,5.5,5.5,7.5,5,7,5,7.5,7,7,3.5,5,1.5,7,6.5,8,4.5,6.5,6.5,4,8,6.5,7.5,8,5.5,5,6,3.5,4,5,5.5,"fall"
"f24602676",18,1,3,NA,1,"",1,"",1,NA,NA,NA,NA,NA,NA,11,4,0,NA,1,1,1,1,1,NA,1,1,1,1,1,1,NA,1,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,7,8.5,5,7.5,6,7,6,7.5,6,5,7.5,5,5,6,6,7,9.5,6,5.5,5.5,7.5,7.5,6,5.5,5.5,8,2.5,5,7,5.5,"fall"
"f24440707",19,0,1,NA,0,"",1,"",NA,NA,1,NA,NA,1,NA,11,7,0,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,5.5,6.5,8,6.5,5,5,7.5,6,8.5,5,5,1,6.5,6,7.5,5,6,6.5,7,3.5,4.5,6.5,5.5,7,7.5,5,0,5,4.5,6,"fall"
"f24473747",19,1,1,NA,2,"",1,"",NA,NA,NA,NA,NA,1,NA,10,7,0,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,5.5,7,5,5.5,5,5,5.5,7,5.5,4,6.5,2,5,7.5,5,6.5,6,5.5,5,3.5,5,6,8,6.5,5,5,1.5,4.5,7,6.5,"fall"
"f24587925",18,0,1,NA,0,"",1,"",NA,NA,NA,NA,NA,1,NA,10,6,0,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,7.5,5.5,5,7,7.5,6,7.5,8,7.5,6.5,3,4,7.5,6.5,6,6.5,5,4.5,7.5,9,5,7,7.5,8,5.5,5,0.5,7,6.5,5,"fall"
"f24617559",18,0,3,NA,0,"",1,"",NA,NA,1,NA,NA,NA,NA,1,7,0,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,8,8,6,6.5,5.5,7.5,8,7.5,8,6,7,5,7,6.5,7,8.5,8,5.5,6.5,8,7.5,9.5,7,8,7,7,4.5,7,7,7,"fall"
"f24755841",18,0,3,NA,0,"",1,"",NA,NA,1,NA,NA,1,NA,2,5,0,NA,NA,NA,NA,1,NA,NA,1,1,1,NA,NA,NA,NA,1,1,1,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,6.5,8,5.5,7,7,9,8,7,8.5,7,7,5,8,6.5,7,8,8.5,5,8.5,9.5,9,8,6.5,9.5,8,8,5,8.5,6.5,7.5,"fall"
"f24551350",20,0,3,NA,0,"",1,"",NA,NA,1,NA,NA,NA,NA,10,6,0,NA,NA,NA,1,1,1,NA,NA,NA,1,1,1,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,6,7,3.5,5.5,6,6,7.5,6.5,5.5,6.5,5,0,6,5,6.5,4.5,6.5,4,5.5,7.5,7,6.5,5.5,5.5,6.5,5.5,0,5,5,5,"fall"
"f24298980",22,0,3,NA,0,"",1,"",NA,NA,NA,NA,NA,1,NA,1,5,0,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,5.5,7.5,4.5,8,7,7,8,7,7,6.5,6,1.5,5,6.5,7,6,7,2.5,7,8.5,7.5,7.5,5.5,7,7.5,7.5,0.5,5,6.5,6,"fall"
"f24213886",21,1,3,NA,1,"",1,"",NA,NA,1,NA,NA,1,NA,11,6,0,NA,NA,1,1,1,1,1,NA,NA,1,1,1,1,1,NA,NA,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,6,5,5,7.5,5,6,6,5,6,6,5,5,5,5,5,7,5,4,6.5,7.5,6,7,5,6.5,6,5,3,5.5,7,6,"fall"
"f2420848",21,1,3,NA,1,"",1,"",NA,NA,NA,NA,NA,1,NA,11,4,0,NA,1,1,1,1,1,NA,NA,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,NA,1,1,1,1,5,6.5,6,7,5.5,5.5,6,6,6,6,6,2,5.5,6,7,5.5,8.5,6,7.5,6,8.5,7,8,6,6,6,3.5,10,7,7,"fall"
"f242855",21,0,3,NA,0,"",1,"",NA,NA,NA,NA,NA,1,NA,11,7,0,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,1,1,NA,1,1,1,1,1,1,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,7.5,8,5,5,5,6,9.5,10,8.5,3.5,7,1,8.5,6.5,7.5,7.5,9.5,8.5,8.5,8.5,8,8.5,9,9,3.5,8,0,7,6,8,"fall"
"f24290264",20,0,1,NA,0,"",1,"",1,NA,NA,NA,NA,NA,NA,12,6,0,NA,NA,NA,1,1,1,NA,NA,NA,1,1,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,6,6.5,5,5.5,6.5,6,6,6,6.5,5.5,5,1,5,5,5,6.5,6,4.5,5,8,5,5.5,5,5.5,5,4,1,6.5,5,6,"fall"
"f24435518",20,0,3,NA,0,"",1,"",1,NA,NA,NA,NA,NA,NA,11,6,0,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,9,5.5,5.5,6,6,7,9.5,8,3.5,6.5,1,8,6,7.5,7,7.5,7.5,8.5,3,8,9,7,9.5,5,8,0,6.5,5.5,9,"fall"
"f24753505",19,0,3,NA,0,"",1,"",1,NA,NA,NA,NA,NA,NA,12,6,0,NA,NA,NA,1,1,1,NA,NA,NA,1,1,1,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,7.5,9,7,7.5,8.5,9,9,9,8.5,9,8,0,9,8,7.5,7,9,5,7.5,9,8.5,8.5,8,8,7.5,7.5,0,6,5.5,7.5,"fall"
"f24351864",22,0,1,NA,0,"",1,"",NA,NA,NA,NA,NA,1,NA,12,7,0,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,8,7.5,5.5,6.5,5,7,8,8,7.5,4,6,3.5,5.5,6.5,6,9.5,8.5,10,5.5,8,6,8,7.5,8,5,6.5,1.5,5.5,7,5.5,"fall"
"f24246916",21,0,3,NA,0,"",1,"",NA,NA,NA,NA,NA,1,NA,11,6,0,NA,NA,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,6.5,6,5,6,6.5,6.5,6,6,6,6.5,7,5,6,6.5,6,6.5,7,5,6,7,5,6,5,7.5,10,7,5,5.5,7,6.5,"fall"
"f24860113",29,1,3,NA,1,"",1,"",NA,NA,NA,NA,NA,1,NA,11,6,0,NA,1,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5.5,5.5,6.5,7.5,5.5,6.5,5,7.5,5.5,5,5,6.5,5,6,3,6,5.5,5.5,8.5,5,5.5,6,8,5,5,0,5,5,4.5,"fall"
