"PIN","sex","age","dq_ethnicity_1","dq_ethnicity_2","dq_ethnicity_3","dq_ethnicity_4","dq_ethnicity_5","dq_ethnicity_6","dq_religion1","dq_religion2","dq_religion3","dq_religion4","dq_religion5","dq_religion6","dq_religion7","dq_religion8","dq_religion9","dq_religion10","dq_religion11","dq_religion12","dq_politics1","dq_politics2","dq_politics3","dq_politics4","dq_politics5","dq_politics6","dq_politics7","dq_age18","dq_age19","dq_age20","dq_age21","dq_age22","dq_age23_25","dq_age26","self_race1","self_race2","self_race3","self_race4","self_race5","self_race6","self_race7","self_religion","self_politics","ideal_affectionate","ideal_ambition","ideal_artistic","ideal_disposition","ideal_family","ideal_health","ideal_humor","ideal_intelligent","ideal_kind","ideal_parenting","ideal_physatt","ideal_religious","ideal_resources","ideal_sexy","ideal_status","self_affectionate_comp","self_ambition_comp","self_artistic_comp","self_disposition_comp","self_family_comp","self_health_comp","self_humor_comp","self_intelligent_comp","self_kind_comp","self_parenting_comp","self_physatt_comp","self_religious_comp","self_resources_comp","self_sexy_comp","self_status_comp","mPIN"
369,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,5,8,8,8,7,5,5,8,7,7,3,5,0,7,6,5,9,6,7,4,1,3,6,6,6,2,6,0,6,6,3,30
420,0,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,2,3,6,7,5,3,4,5,6,5,4,4,7,2,3,4,6,6,7,5,5,4,6,5,6,5,3,6,3,5,6,6,210
407,0,25,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,7,5,7,6,6,7,6,7,5,6,9,9,7,9,7,7,8,9,9,7,10,8,9,7,8,8,9,9,10,10,54
313,0,24,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,13,4,5,4,5,4,5,6,5,5,1,2,4,9,3,2,6,4,4,1,4,4,4,4,4,2,2,3,5,4,3,2,176
250,0,26,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,1,NA,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,12,2,9,9,7,9,10,8,8,6,8,9,7,7,8,10,8,8,5,1,5,7,3,7,5,7,7,6,5,5,8,4,113
448,0,25,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,12,6,6,6,6,6,6,7,6,6,7,8,7,5,7,7,6,6,6,6,4,8,3,6,7,7,7,8,1,3,9,6,NA
429,0,18,1,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,12,5,10,10,6,9,10,8,10,8,8,8,9,8,10,8,9,8,7,4,7,3,6,9,6,6,7,6,6,6,6,4,6
310,0,19,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,10,3,8,8,8,7,8,8,7,10,8,6,6,1,7,7,6,7,6,4,5,4,4,5,6,7,4,6,3,4,4,4,160
319,0,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,7,6,9,6,4,5,5,7,4,7,6,4,6,5,5,6,7,5,8,5,6,5,7,7,6,6,4,6,6,6,7,51
439,0,22,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,12,2,7,9,6,10,8,8,7,9,7,9,7,9,9,7,8,4,6,7,6,6,6,7,5,6,7,5,8,6,6,6,209
305,0,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,12,7,9,7,6,5,4,6,6,6,8,9,6,1,7,7,6,8,5,6,4,5,5,6,6,7,7,4,0,3,8,7,151
349,0,23,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,12,4,6,5,5,6,8,7,7,6,8,7,6,6,8,5,6,7,9,9,10,10,5,7,8,9,8,8,6,9,4,10,168
273,0,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,4,6,6,7,5,5,5,5,4,7,7,4,9,4,7,6,3,5,5,5,5,5,6,5,6,6,6,9,7,4,7,231
304,0,25,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,12,2,8,8,7,8,9,8,9,7,8,7,6,8,8,8,8,10,9,6,6,7,7,10,9,7,6,10,6,7,10,8,60
331,0,24,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,4,9,10,9,8,9,8,7,9,10,10,10,6,9,10,10,10,10,9,10,10,8,10,10,10,9,9,4,7,9,10,228
292,0,21,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,7,4,8,6,8,6,7,9,3,8,6,9,7,5,5,7,8,8,8,4,6,6,7,4,6,6,8,6,4,3,6,5,NA
372,0,22,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,2,10,7,4,8,6,6,8,10,8,7,8,8,7,8,6,7,7,3,6,6,5,7,8,7,8,7,7,8,9,6,23
376,0,18,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,6,10,10,10,9,9,8,8,9,10,10,10,6,8,9,9,8,10,10,9,10,8,9,10,10,10,8,5,9,10,9,206
490,0,23,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,1,NA,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,12,2,7,7,9,8,6,10,9,10,7,8,9,6,9,9,9,8,7,7,9,9,9,9,9,8,9,9,5,9,9,9,132
387,0,24,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,5,7,8,9,8,6,6,9,9,6,6,7,6,7,6,8,8,5,8,7,6,5,8,7,6,4,6,5,5,7,7,125
284,0,26,NA,NA,NA,NA,NA,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,11,7,6,5,4,5,2,4,5,4,5,3,6,4,4,5,3,7,4,6,4,4,5,4,6,7,4,8,3,4,7,4,NA
293,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,12,3,10,8,6,8,9,9,9,7,7,9,10,7,8,9,10,6,8,6,6,8,7,8,8,8,8,8,5,7,7,7,29
318,0,19,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,2,8,6,7,8,8,8,6,5,8,7,6,7,7,7,7,5,7,7,4,8,5,7,6,8,7,5,8,5,6,7,183
472,0,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,4,10,10,9,10,10,9,10,9,10,10,8,9,9,9,9,8,6,7,7,8,7,8,6,8,6,7,8,7,7,7,83
365,0,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,3,5,5,8,5,8,8,6,6,7,6,6,7,8,4,5,8,9,8,7,8,7,5,9,7,7,8,8,8,6,6,58
400,0,23,1,1,1,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,5,6,7,6,5,5,5,8,3,7,5,7,6,7,5,6,6,8,7,6,6,6,5,5,6,6,7,8,7,6,8,7,155
430,0,26,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,9,2,7,8,10,8,7,8,7,7,7,9,8,7,9,9,7,6,7,9,9,9,6,7,7,8,8,8,7,8,8,8,152
485,0,20,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,4,7,9,8,7,7,8,8,7,8,7,7,7,8,5,8,7,8,6,8,9,7,8,9,7,6,10,7,8,7,9,158
325,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,11,5,9,8,7,8,10,8,10,7,10,9,7,6,7,8,9,6,5,3,4,8,4,6,6,8,6,7,4,7,5,6,202
391,0,18,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,11,6,7,6,9,9,9,8,6,6,7,7,5,2,7,6,6,8,8,5,7,4,7,6,6,8,7,7,5,7,6,7,224
390,0,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,4,5,7,3,5,5,6,5,7,6,3,6,3,5,5,6,7,4,4,4,5,7,4,5,6,5,6,4,4,6,7,118
252,0,22,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,12,1,5,5,8,7,2,6,6,8,8,7,7,8,7,8,8,6,7,7,5,7,8,5,7,7,8,9,5,6,7,6,246
414,0,22,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,1,NA,12,4,9,6,5,6,6,6,5,7,8,6,9,4,5,4,5,6,5,5,6,7,5,3,6,7,7,5,1,5,6,4,199
473,0,25,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,11,1,10,8,5,10,10,7,9,6,9,10,5,2,9,8,7,10,6,5,9,8,5,9,8,8,9,6,2,6,8,6,219
493,0,24,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,4,9,10,6,10,8,9,8,9,9,7,8,6,10,10,6,10,10,7,10,10,8,9,10,10,8,10,2,9,10,8,237
417,0,19,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,2,5,8,7,5,8,5,7,6,7,7,6,6,5,6,7,6,6,4,4,3,6,5,3,6,5,5,6,5,5,5,5,135
491,0,23,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,5,8,10,6,8,10,5,10,8,9,9,10,10,10,9,7,9,7,8,8,8,6,10,9,8,10,9,8,8,9,8,171
416,0,21,NA,NA,NA,1,1,NA,NA,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,2,8,8,6,9,10,6,9,8,9,10,6,6,10,10,8,10,7,7,7,8,9,10,8,9,8,10,6,7,7,8,236
320,0,25,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,11,5,8,7,10,9,7,6,7,5,9,9,8,8,7,8,7,9,8,8,9,6,6,7,9,10,10,8,8,7,9,8,167
471,0,21,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,7,7,7,3,7,6,6,6,5,7,9,8,7,7,7,9,6,6,3,5,7,8,6,6,7,8,7,8,7,7,6,220
296,0,26,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,3,6,7,6,7,6,7,7,6,7,5,6,5,7,6,8,8,7,6,6,5,8,8,6,7,6,6,6,5,7,7,141
279,0,23,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,7,6,7,6,5,9,6,7,7,7,3,4,4,7,5,6,6,7,7,6,4,6,6,8,7,4,8,2,7,6,5,245
432,0,19,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,2,7,8,1,6,4,6,3,6,7,5,5,2,4,6,3,8,7,5,6,5,5,4,8,7,4,5,2,5,7,5,143
344,0,22,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,10,5,5,5,6,4,4,4,6,3,6,3,5,1,6,7,6,4,5,4,5,6,7,6,7,6,6,6,3,6,6,5,71
477,0,22,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,12,4,7,6,5,8,8,4,4,7,5,6,5,7,6,7,6,5,6,6,5,10,7,5,6,6,6,7,6,7,6,6,243
301,0,20,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,5,8,10,7,9,9,8,9,8,9,10,7,10,9,7,7,7,10,8,7,8,5,9,7,10,9,4,9,6,7,8,120
386,0,20,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,12,4,6,6,5,6,5,8,7,8,5,5,7,4,5,6,6,7,8,6,6,6,8,7,7,6,5,8,4,6,8,6,247
500,0,18,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,7,4,8,10,8,9,8,9,9,9,7,10,10,5,10,7,9,7,9,8,7,10,7,9,8,8,8,7,2,8,7,8,81
254,0,23,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,1,7,7,5,6,8,7,6,8,7,6,9,10,8,7,6,4,7,2,4,6,4,3,7,5,7,7,8,8,7,6,162
467,0,23,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,1,5,6,4,5,2,5,6,6,3,5,6,5,4,3,4,4,7,5,5,3,5,2,6,4,5,6,6,5,5,3,19
358,0,20,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,5,8,8,5,8,6,9,8,8,8,8,9,0,9,9,10,7,8,8,8,5,8,9,9,10,9,7,0,7,9,6,234
360,0,18,1,1,1,NA,1,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,6,7,7,6,6,7,9,6,5,6,8,6,6,5,9,7,6,6,5,6,6,6,3,5,4,5,4,3,6,8,180
410,0,18,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,1,8,5,9,10,6,8,8,8,7,4,7,7,8,10,7,8,8,8,8,5,7,10,8,5,6,7,7,6,7,8,177
452,0,21,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,7,1,9,4,3,8,7,6,7,5,3,4,5,6,5,6,6,5,4,4,6,7,6,7,6,5,6,5,7,7,4,6,8
302,0,18,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,11,7,7,9,5,7,7,6,7,7,7,9,7,7,8,8,8,6,7,6,6,8,5,6,6,8,7,7,8,8,6,7,112
397,0,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,5,7,5,6,6,5,5,6,6,6,6,4,2,5,6,6,7,8,6,7,8,8,7,8,8,7,9,4,6,7,6,63
428,0,23,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,13,4,10,8,9,10,10,8,9,8,9,10,9,10,9,10,9,10,10,10,10,10,8,10,10,10,10,9,10,9,10,10,174
389,0,19,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,4,9,7,3,9,8,6,5,5,9,6,7,4,7,8,7,8,6,3,7,8,7,5,5,8,7,7,4,8,5,9,48
335,0,20,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,7,9,7,6,10,7,5,8,7,8,7,9,6,7,8,6,8,7,6,6,6,5,8,7,9,6,9,5,8,6,6,204
424,0,23,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,13,4,10,8,8,9,8,7,10,5,10,10,8,6,10,10,9,9,7,8,9,9,7,10,8,10,8,7,6,9,8,8,4
