"PIN","age","sex","sexOrient","sexOrientText","gender","genderText","relStat","relStatText","raceAAPI","raceBlack","raceLatinx","raceNAAI","raceMENA","raceWhite","raceNA","religion","politics","international","poliDQVC","poliDQMC","poliDQSC","poliDQCent","poliDQSL","poliDQML","poliDQVL","ageDQ18","ageDQ19","ageDQ20","ageDQ21","ageDQ22","ageDQ23_25","ageDQ26plus","raceDQAAPI","raceDQBlack","raceDQLatinx","raceDQNAAI","raceDQMENA","raceDQWhite","religionDQ1","religionDQ2","religionDQ3","religionDQ4","religionDQ5","religionDQ6","religionDQ7","religionDQ8","religionDQ9","religionDQ10","religionDQ11","internationalDQDom","internationalDQInt","idealAffectionComp","idealAmbitionComp","idealArtisticComp","idealDispositionComp","idealFamilyComp","idealHealthComp","idealHumorComp","idealIntelligentComp","idealKindComp","idealParentingComp","idealPhysattComp","idealReligiousComp","idealResourcesComp","idealSexyComp","idealStatusComp","selfAffectionateComp","selfAmbitionComp","selfArtisticComp","selfDispositionComp","selfFamilyComp","selfHealthComp","selfHumorComp","selfIntelligentComp","selfKindComp","selfParentingComp","selfPhysattComp","selfReligiousComp","selfResourcesComp","selfSexyComp","selfStatusComp","mPIN"
"f24162892",19,0,3,NA,0,NA,1,"",NA,NA,NA,NA,NA,1,NA,11,6,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,7.5,8,7,4.5,4,7,5.5,5.5,6,3,8,1,7,4.5,5.5,5.5,8.5,9,8,6,5.5,5.5,7,8,3,6.5,2,3.5,3,5,"f24318905"
"f24814274",21,0,3,NA,0,NA,1,"",NA,NA,NA,NA,NA,1,NA,10,7,0,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,7.5,7.5,5,7,7,6.5,8,9,8,7,6,1.5,7,5.5,7,7.5,7,6,7.5,8,8,8,8.5,8,8,6.5,0,6,5,7.5,"f24526295"
"f24324705",23,0,3,NA,0,NA,1,"",NA,NA,NA,NA,NA,1,NA,2,6,0,1,0,0,1,1,1,0,0,0,1,1,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,1,1,8.5,8.5,5,8.5,8.5,7,6.5,8,8.5,6.5,8,5,8,7,8.5,7.5,7.5,7.5,6.5,9.5,6.5,7,7,8,8,6.5,3,4,7,8,"f24443181"
"f24299662",19,0,3,NA,0,NA,2,"",NA,NA,1,NA,NA,NA,NA,12,4,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,5.5,7,6,6,6,5.5,4.5,6,5.5,6,5,8,8,5,5,5,7,6,6,5.5,5.5,7.5,5.5,5.5,6.5,5,5.5,6,1,5,"f24489262"
"f24316671",20,0,1,NA,1,NA,1,"",1,NA,NA,NA,NA,NA,NA,10,6,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,5,5,7.5,6.5,5.5,6,5.5,6,6,2,5.5,3.5,6,5,5.5,6.5,5.5,8,6.5,8,5,7,6,5.5,3,7,0,6.5,5,5.5,"f24150654"
"f24832670",22,0,3,NA,0,NA,1,"",NA,NA,NA,NA,NA,1,NA,10,6,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,5,7.5,5,7.5,4,6,10,10,10,7.5,10,0.5,10,10,9,4,9.5,4.5,6.5,7,6.5,10,9,8.5,8,8,0,8.5,10,9,"f24801009"
"f24484299",19,0,3,NA,0,NA,1,"",1,NA,NA,NA,NA,1,NA,2,5,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,9,7,6,7,5.5,5.5,9,6.5,8,6.5,6.5,5.5,7,9,8.5,7,5.5,5,9,5,2.5,7.5,3.5,7,7,4,3.5,4.5,5,7,"f24840732"
"f24909969",18,0,3,NA,0,NA,1,"",NA,NA,NA,NA,NA,1,NA,5,6,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,7,6.5,5.5,6.5,6.5,6,8.5,6.5,8,6.5,7,3,6,5,5,7,6.5,5,6,8.5,5,7,6,9,7.5,5,1.5,5,5,5,"f24949065"
"f24994013",19,0,1,NA,0,NA,1,"",1,NA,NA,NA,NA,NA,NA,11,6,0,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,1,1,0,7,7.5,7.5,6,7.5,8,6.5,7.5,7,7.5,7,0,7.5,7.5,7,5.5,6.5,5.5,6.5,6.5,6.5,3.5,6,6.5,5,7,0,3.5,3.5,6,"f24118531"
"f24559078",18,0,3,NA,0,NA,1,"",1,NA,NA,NA,NA,NA,NA,10,6,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,7.5,6,6,6,7,5.5,5.5,6.5,7,6.5,6,3,6.5,6,6.5,6,5,5.5,5,5.5,4.5,5,5,6.5,5.5,4.5,2,5,5,5,"f2479457"
"f24762432",18,0,3,NA,0,NA,1,"",NA,NA,1,NA,NA,NA,NA,11,5,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,7,8,4.5,7.5,5,5,7,7,8.5,5.5,5.5,3.5,6,5,5.5,8.5,9,5,7,8.5,6.5,7,7,9,8,6.5,2.5,8,5.5,7.5,"f24848147"
"f24467836",18,0,1,NA,0,NA,1,"",NA,NA,NA,NA,NA,1,NA,1,6,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,6,5.5,5,6,5,5,7.5,6,6,5,5.5,3.5,5,6.5,6,6,6.5,5,7,6.5,4.5,8.5,6,6,6,6,2.5,6.5,5.5,6,"f24342054"
"f24911569",21,0,3,NA,0,NA,1,"",NA,NA,1,NA,NA,NA,NA,2,6,0,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,5.5,8.5,1,5.5,6.5,7.5,5,7,6.5,6.5,6,1.5,8,7.5,8.5,6.5,8,1.5,6.5,8,8,5.5,8,7.5,8.5,7.5,2.5,9,7,7.5,"f24983939"
"f24675030",19,0,3,NA,0,NA,1,"",1,NA,NA,NA,NA,NA,NA,1,6,0,1,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,9,7.5,3,5.5,9.5,10,8,9,9,9,8,3.5,6.5,6.5,8,9,6.5,2,7,7.5,8,8,5.5,9,7.5,6.5,4,5.5,4,6.5,"f24556178"
"f24626359",19,0,3,NA,0,NA,1,"",NA,NA,1,NA,NA,NA,NA,1,4,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,7.5,8,5.5,8,8.5,6.5,6,7.5,7.5,5,7.5,6,7.5,5,6.5,8.5,9,7.5,8,10,6,6.5,7,9,8,5,6.5,7,5,8,"f24741978"
"f24423571",19,0,1,NA,0,NA,1,"",NA,NA,1,NA,NA,NA,NA,12,4,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,5,7,7,6,6,7,5.5,7,6.5,7,5,0,5,5,5.5,4.5,7,7,5,7,6.5,5,5,7.5,7,5,0,5,5,5.5,"f24275843"
"f24809990",18,0,1,NA,0,NA,5,"Dating, polyamorous",NA,NA,NA,NA,NA,NA,1,12,5,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7.5,6,6.5,8,5.5,6,8.5,6.5,9.5,7,5,3.5,6.5,4.5,6,6,5,7,9,4,5,7.5,6,8.5,6,6.5,2.5,6.5,3,5.5,"f24494329"
"f24190850",20,0,3,NA,0,NA,1,"",NA,1,NA,NA,NA,1,NA,12,6,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,1,1,1,0,6.5,7,5,5,7,5,6.5,6.5,6,5.5,6.5,4,5,5,5,5.5,6.5,3.5,6.5,9,6.5,6.5,6.5,7.5,7,6.5,1.5,5,5,6,"f24955710"
"f24643623",19,0,1,NA,0,NA,1,"",NA,NA,NA,NA,NA,1,NA,5,6,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7.5,8,5,9,6,7,8,8,7.5,7,6.5,5.5,7,7.5,8.5,8.5,7.5,5,6.5,9.5,5,8.5,7.5,7,6,5,6.5,7,8.5,8,"f24263070"
"f24772734",19,0,3,NA,0,NA,1,"",1,NA,NA,NA,NA,NA,NA,1,4,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,6.5,7.5,6,7.5,7,7.5,7,8,9,7,6.5,8.5,8,5.5,8,5,5,7.5,6,6,7,4.5,5.5,6.5,6.5,5.5,8,5.5,2,5,"f24568816"
"f24308524",18,0,3,NA,0,NA,1,"",NA,NA,1,NA,NA,NA,NA,10,4,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,8.5,8.5,5.5,6.5,5.5,7.5,8.5,8,8.5,8,5,0,5.5,6.5,6.5,8.5,8.5,9.5,4,10,6,8,6,10,7.5,5,0,6,5,6.5,"f24425885"
"f24958454",18,0,1,NA,0,NA,1,"",NA,NA,NA,NA,NA,1,NA,10,7,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6.5,6.5,6.5,9,6.5,9,6.5,10,6.5,6,2.5,6.5,6,7,6,5.5,6,5.5,9,5,8.5,5.5,8.5,5.5,5,2.5,4.5,5,6,"f24723820"
"f24131495",18,0,3,NA,0,NA,1,"",1,NA,NA,NA,NA,NA,NA,10,6,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,7,7,5,6.5,7,6,7.5,7,6.5,5.5,7,5,7,8.5,6,7,5.5,5.5,6,6.5,5,7.5,6,7.5,6,7,2.5,5,8.5,6.5,"f24632338"
"f24617278",19,0,3,NA,0,NA,1,"",NA,NA,NA,NA,NA,1,NA,2,6,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,7,6.5,5,6.5,7.5,6.5,7,5,7,5,6.5,1,3,3,6.5,6,5,4.5,5.5,8.5,8.5,7,4.5,5.5,5,7,0.5,4,5,6.5,"f24480688"
"f24600471",19,0,3,NA,0,NA,1,"",NA,NA,NA,NA,NA,1,NA,12,6,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,5.5,7,5,6,5.5,7.5,6,7,7,6.5,6,2.5,7,6.5,6,9,6.5,1.5,5,5.5,5,7.5,6.5,8,5.5,8,0,7,7,7,"f24734101"
"f24102355",20,0,3,NA,0,NA,1,"",NA,NA,1,NA,NA,NA,NA,1,5,0,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,6,6,6,6,6.5,6,7,6,7,6,6,6.5,6.5,6.5,6,5,5.5,5.5,5,8,6,9,6,6.5,6,5,7,6,5.5,5.5,"f2414182"
"f24252921",19,0,1,NA,0,NA,1,"",1,NA,NA,NA,NA,NA,NA,12,7,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,7.5,7.5,7.5,6,6.5,6,6,7,8.5,7.5,6.5,2.5,6,4.5,6.5,7,8,9,7,7,5.5,7,7.5,8.5,9.5,5.5,2,6.5,4.5,7,"f24160249"
"f24585959",18,0,3,NA,0,NA,1,"",NA,NA,NA,NA,NA,1,NA,2,5,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,1,1,5.5,7,7,7.5,5,6,8.5,7.5,7.5,5,7,2.5,5,5,5,6,7.5,7.5,8.5,4.5,6,9,7.5,7.5,5,7.5,5,5.5,4.5,6.5,"f24976312"
"f24776242",18,0,3,NA,0,NA,1,"",1,NA,NA,NA,NA,1,NA,10,6,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,5,8,5,7,8,7,9,6,8,8,8,5,6.5,7,7.5,6,7,5.5,7,8.5,8,8,7,8,8,7,3,6,7,6.5,"f24361844"
"f24207382",19,0,3,NA,0,NA,1,"",NA,NA,NA,NA,NA,1,NA,10,6,0,1,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,8,7,5,6,6.5,6,7,6.5,7,7,6,5,7,5,6,8.5,8.5,5.5,7,8,7.5,6,6.5,7,9,6.5,1.5,7.5,5,7.5,"f24969419"
"f24827485",18,0,1,NA,0,NA,1,"",NA,NA,NA,NA,NA,1,NA,11,6,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0,7.5,6.5,5.5,7,5,6.5,8.5,6.5,8,5.5,6,2,5,5,5,8,6.5,7.5,7,5.5,6,8,6.5,6.5,5.5,6.5,1.5,5,5.5,7,"f24289238"
"f24612688",18,0,3,NA,0,NA,1,"",NA,NA,NA,NA,NA,1,NA,1,6,0,1,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,5.5,7,2.5,6,5.5,6,5,6,6.5,6,6,5.5,6.5,5,6,6,7,7,6.5,7,6.5,6.5,6,7,7,6,6,6.5,5,6,"f24529664"
"f24703185",20,0,3,NA,0,NA,1,"",1,NA,NA,NA,NA,NA,NA,12,5,0,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,9.5,10,9,9,10,9.5,10,10,10,9.5,10,0,10,9.5,10,7,10,7.5,7,7,7,6.5,8.5,7,5.5,9,0,7.5,7,8,"f24450377"
"f24926860",19,0,3,NA,0,NA,1,"",NA,NA,NA,NA,NA,1,NA,12,3,0,1,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,6.5,6.5,5,7,7,7,6,5.5,7,7.5,5,3.5,6.5,5,5.5,6,5,4.5,5,6,6.5,5.5,5,7,7,5.5,3,5,5,6,"f24494886"
"f24848147",18,1,3,NA,1,NA,1,"",1,NA,NA,NA,NA,NA,NA,9,6,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8.5,9,5,7,9,8.5,7.5,8,7,6.5,8,0.5,7.5,5,5,7,8.5,3.5,5,9,5.5,5,6,6.5,5.5,5.5,0.5,6,4,5,"f24762432"
"f24263070",20,1,3,NA,1,NA,1,"",1,NA,NA,NA,NA,NA,NA,2,7,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,7,8,5.5,8,9.5,3,10,8,6.5,6.5,8,5,8,8.5,6.5,7.5,9.5,6,8.5,9.5,3.5,10,6,7,8.5,6,3.5,9.5,7,5.5,"f24643623"
"f24741978",20,1,3,NA,1,NA,1,"",NA,NA,1,NA,NA,NA,NA,1,4,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,7,7.5,5.5,7.5,7,8,6,8,7.5,6,7,7.5,6,8,7,7,7.5,5.5,7,7.5,7,6.5,7.5,7.5,7,6,7,5.5,7,7,"f24626359"
"f24494886",18,1,3,NA,1,NA,1,"",NA,NA,1,NA,NA,NA,NA,2,6,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,6,6,5.5,7,6.5,7,6,6.5,6.5,6.5,5,7,5.5,3,8.5,7,8,4.5,6.5,8.5,10,5,6.5,7.5,10,5,6.5,6.5,3.5,10,"f24926860"
"f24160249",22,1,3,NA,1,NA,1,"",NA,NA,NA,NA,NA,1,NA,7,6,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,7.5,8,8,7.5,8.5,8.5,7,9.5,8.5,9.5,10,3,6,5.5,8.5,7.5,10,9.5,7,10,6,6.5,9.5,7,8.5,9.5,4.5,7,5,9.5,"f24252921"
"f24342054",21,1,3,NA,1,NA,1,"",NA,NA,NA,NA,NA,1,NA,7,6,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,1,1,0,6.5,7.5,5.5,7,6,7,8,6,4,5,7,4,5.5,5,6.5,7,7.5,5.5,8,7.5,6,7.5,7,4,6,7,2.5,7,7.5,7,"f24467836"
"f24969419",22,1,3,NA,1,NA,1,"",NA,NA,NA,NA,NA,1,NA,7,6,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,5.5,5,4,5.5,7,6,6,6.5,5.5,6,3.5,5,6,6,6.5,6,3,5.5,7,6,7,6.5,8.5,5.5,7,5,8,6.5,6.5,"f24207382"
"f2446105",22,1,3,NA,1,NA,1,"",NA,NA,NA,NA,NA,1,NA,11,4,0,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,9,7,6.5,8.5,7,7,8,7,7,10,10,0,5,8.5,6,9,7,4,5.5,6.5,7,7,6,6.5,6.5,9,1.5,6,8.5,5,"f24627858"
"f24434064",21,1,3,NA,1,NA,1,"",NA,NA,NA,NA,NA,1,NA,12,6,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,6.5,7,8.5,6,7,5,7,7,6.5,2.5,5.5,6,4,6,5.5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7.5,"f24223793"
"f2479457",19,1,1,NA,2,NA,1,"",NA,NA,NA,NA,NA,1,NA,11,6,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,6,6.5,5.5,6,5,5,6,6,6,5,5,4.5,6,5,5,6.5,7.5,5.5,5.5,8,7,7,6.5,7,4.5,5,0.5,7,5,5.5,"f24559078"
"f24955710",21,1,3,NA,1,NA,1,"",NA,NA,NA,NA,NA,1,NA,11,7,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,6.5,7,6,5.5,5.5,6,6.5,7.5,5.5,6,5,3.5,5.5,5.5,6,6.5,6,4.5,7,7.5,5,6,7,6,5.5,4.5,3,5.5,5.5,5.5,"f24190850"
"f24416224",24,1,3,NA,1,NA,1,"",NA,NA,1,NA,NA,NA,NA,1,5,0,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1,1,6.5,7,5,5.5,6.5,8.5,5.5,6,6.5,7.5,7,5,6.5,6.5,6,6.5,7,5.5,4.5,9,9,6.5,7,7.5,7,6,5,6,6.5,5.5,"f24139249"
"f24976312",19,1,3,NA,1,NA,1,"",1,NA,NA,NA,1,1,NA,1,4,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5.5,6,7.5,5,6,5,8,8,6,6,7,6,5,6,5,5.5,7.5,7.5,7,7,5,8,7.5,6.5,6.5,6,5,5.5,5.5,6,"f24585959"
"f24801009",22,1,1,NA,1,NA,1,"",NA,NA,NA,NA,NA,1,NA,11,6,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5.5,7,6,6,7.5,8.5,8.5,9,7,7.5,8.5,5,7,8.5,7,5,7.5,5,8,7.5,8.5,6.5,8,6.5,7.5,6.5,2.5,7,5.5,6,"f24832670"
"f24498876",23,1,1,NA,1,NA,1,"",NA,NA,1,NA,NA,NA,NA,11,6,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,6,7.5,7.5,6.5,5,5.5,5.5,6.5,6,5.5,5,2,5,5,5,9.5,6,9.5,5,8.5,6.5,9,7,7.5,9,5,0.5,8.5,6.5,5,"f24180187"
"f24480688",20,1,3,NA,1,NA,1,"",1,NA,NA,NA,NA,NA,NA,12,5,0,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,7.5,7,7.5,6,6,7,7,6,6.5,5,6,3.5,6.5,5.5,6,8,6.5,7,6.5,4.5,7,7,6.5,4,4,5,0.5,5.5,6,7,"f24617278"
"f24734101",20,1,3,NA,1,NA,1,"",NA,NA,NA,NA,NA,1,NA,11,7,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,7,5,6.5,8,6,7.5,7.5,7.5,9,5.5,8,2.5,6.5,5.5,6,6.5,4,5.5,8,8,8,7,8,8,6,6.5,2.5,7,4,7,"f24600471"
